HIP,Name,RA_deg,Dec_deg,Magnitude
106798,,324.477195,-74.994257,8.47
106803,,324.48246,-63.711927,10.63
106807,,324.48978,-23.068383,8.62
106819,,324.51225000000005,50.617586,9.24
84713,,259.7427,-32.965499,7.81
106823,,324.52644000000004,38.992427,8.86
84728,,259.79736,-11.12481,10.45
84732,,259.81215000000003,79.305354,7.31
106849,,324.62091,48.713594,7.48
106850,,324.62413499999997,13.684153,7.57
84774,,259.927935,-49.76046,9.88
106857,,324.63312,-2.015189,8.67
106859,,324.640065,-16.863959,8.33
106860,,324.64131,53.723009,9.39
106862,,324.65065500000003,46.829363,8.77
106872,,324.68817,25.498829,6.18
106903,,324.76732499999997,20.601593,7.99
106910,,324.78615,-44.318251,10.2
84829,,260.06559,-18.823592,9.28
106948,,324.90417,71.426281,8.2
84835,,260.088045,46.24078,5.51
106960,,324.952875,37.823617,9.81
84875,,260.19093,17.040006,7.78
106968,,324.96696,-43.131995,6.73
106989,,325.02648,-34.574695,9.84
84943,,260.399115,20.145584,9.06
84957,,260.46255,-42.862262,9.84
107019,,325.11377999999996,-34.534824,6.71
107042,,325.181235,-31.255218,11.35
84969,,260.49796499999997,-67.770668,4.76
84972,,260.50455,21.154784,7.03
107094,,325.38705,-48.130003,11.87
107093,,325.387095,-21.663156,7.91
107108,,325.43625000000003,-15.619906,11.31
107113,,325.444845,-45.758253,8.45
84984,,260.53986,-46.824175,12.74
107139,,325.524585,21.229603,8.57
107150,,325.56158999999997,39.52633,7.36
84995,,260.59263,-31.297435,8.28
107172,,325.627095,-37.930476,9.57
107179,,325.639995,58.244223,9.73
85011,,260.62734,-48.659468,9.32
85014,,260.63148,34.619149,9.36
107201,,325.69722,-50.992505,9.06
85019,,260.65815000000003,-35.910699,6.42
107204,,325.70313,-25.997332,8.67
85045,,260.71975499999996,16.461291,8.59
85052,,260.73393,47.176597,8.45
107219,,325.74289500000003,-69.195088,9.11
107220,,325.74528,-13.673006,9.3
107232,,325.76831999999996,-14.399709,5.88
107234,,325.773825,62.032158,8.19
107238,,325.806375,-19.620961,6.23
107241,,325.81419,51.003335,8.23
107243,,325.818225,-49.639118,8.98
107264,,325.890225,-68.064746,7.2
107282,,325.956945,-39.375763,9.15
107285,,325.966935,-63.408632,8.39
107323,,326.075115,-55.473077,6.88
107328,,326.086245,77.053041,10.34
107334,,326.09344500000003,84.038546,7.11
85087,,260.85447,10.880595,9.75
107351,,326.135355,-24.910556,7.32
85092,,260.866755,-13.734118,10.02
107382,,326.251065,-9.082428,5.1
107398,,326.30165999999997,52.267577,6.4
107401,,326.306925,14.920357,9.26
85136,,260.98891499999996,-0.835212,8.41
107429,,326.377695,40.425275,8.84
107444,,326.433735,1.669373,8.62
107467,,326.50863,-36.76269,9.88
107472,,326.518185,22.94888,5.29
85156,,261.02290500000004,-43.272895,10.14
85157,,261.02745,22.960285,5.7
107511,,326.618745,21.833937,8.57
85169,,261.07831500000003,-60.673799,5.76
107534,,326.69975999999997,-56.455228,9.49
107538,,326.71176,55.335334,9.66
107549,,326.745225,7.175414,7.59
107594,,326.901765,-17.294745,7.65
107607,,326.93331,-55.654593,8.69
85228,,261.22656,35.740028,8.62
107624,,326.993625,28.815753,8.04
107629,,327.01161,69.328114,8.57
107638,,327.03673499999996,-44.942629,10.15
85273,,261.35961000000003,-8.828515,7.23
85280,,261.38076,38.78381,8.54
107653,,327.07677,38.956126,7.22
85340,,261.59256,-24.175309,4.16
107657,,327.097965,32.796182,6.82
85400,,261.76452,46.271496,8.62
85417,,261.81978,70.88742,9.49
107692,,327.228075,46.903078,8.05
107693,,327.22878000000003,-81.235136,9.3
85432,,261.87225,35.720505,7.87
107709,,327.27943500000003,53.469734,9.11
107711,,327.29868,-41.559017,11.52
85479,,262.03122,28.473751,9.25
107729,,327.35082,30.758453,9.56
85616,,262.431735,22.304804,8.59
85624,,262.451655,-23.262499,9.61
85626,,262.464285,15.963995,8.12
85648,,262.55445000000003,53.078424,9.57
85658,,262.58184,-11.621526,8.87
85657,,262.582005,63.777504,7.33
85694,,262.68463499999996,-62.082861,8.41
85710,,262.72527,-42.028151,8.47
107751,,327.42810000000003,24.089146,7.72
85729,,262.779735,-53.478668,8.14
107757,,327.43933499999997,-46.610981,6.98
85740,,262.82265,19.017388,8.98
85743,,262.82787,-56.749067,8.29
85747,,262.83234,-39.165307,7.93
107781,,327.52239,31.847904,7.3
107785,,327.531945,-43.430934,8.06
85760,,262.86447000000004,-80.859134,5.83
107813,,327.62826,32.657596,6.79
85768,,262.88183999999995,-17.309269,9.96
85770,,262.88772,-29.96731,9.45
107851,,327.764355,-7.907491,7.87
107871,,327.84004500000003,-6.654905,9.54
85784,,262.93730999999997,-9.980778,8.65
107881,,327.88075499999997,-32.533916,8.58
85821,,263.048115,21.263885,8.3
107893,,327.905205,65.75271,6.37
107897,,327.918135,17.875218,9.12
107906,,327.936645,-5.317927,11.17
107912,,327.94762499999996,-35.951905,8.53
85850,,263.15385,33.569791,10.21
107935,,328.01164500000004,22.574828,10.69
85882,,263.26681499999995,-25.047641,9.66
85891,,263.28740999999997,23.92071,7.98
85917,,263.36145,-3.436068,9.07
85926,,263.39643,62.714456,8.81
85937,,263.44485,-50.731047,7.76
107987,,328.15992,25.055009,8.36
85958,,263.519055,38.951641,9.52
85961,,263.53094999999996,-31.066259,8.59
85964,,263.53815000000003,60.089374,7.28
85992,,263.62685999999997,43.50089,8.18
108049,,328.34733,34.281522,8.18
108058,,328.400145,-10.311619,6.57
108088,,328.48914,-26.697437,9.51
108089,,328.48923,-6.515083,9.0
86031,,263.727195,-42.917097,8.05
108095,,328.51611,-17.161456,8.52
108126,,328.58676,-38.466805,8.57
86068,,263.851545,36.136308,8.29
108153,,328.680765,14.557749,9.1
108180,,328.75764000000004,-11.970252,8.08
86072,,263.865345,-84.696737,8.48
108195,,328.797345,-61.886608,5.92
86077,,263.871975,32.631145,8.46
108245,,328.93029,-2.635036,8.01
108249,,328.95633,13.838832,7.68
108252,,328.966515,26.403244,8.34
86959,,266.54364,53.949769,8.97
109067,,331.419585,12.376685,9.55
86979,,266.62185,-49.611519,8.09
86983,,266.628105,-39.264817,7.07
86985,,266.6325,-7.985656,7.35
86986,,266.63295,39.319187,10.21
86988,,266.64034499999997,-14.757408,8.43
86992,,266.651475,-16.003641,8.19
